UID,Atribuições Comuns (2012),Delegado de Polícia (2023),Escrivão de Polícia (2023),Investigador de Polícia (2023),Perito Criminal (2023),Médico Legista (2023),Papiloscopista Policial (2017),Auxiliar de Papiloscopista Policial (2017),Agente de Telecomunicações Policial (2017),Agente Policial (2017),Carcereiro Policial (2013),Fotógrafo Técnico Pericial (2013),Desenhista Técnico Pericial (2013),Auxiliar de Necropsia (2013),Atendente de Necrotério (2013),Assessoramento Papiloscopico (2023),Escrivão (1967),Investigador (1967),Fiscal Diversões Públicas (1967),Perito Criminal (1967),Medico Legista (1967),Pesquisador Datiloscopico (1967),Datiloscopista (1967),Radiotelegrafista (1967),Motorista (1967),Guarda de Presídio (1967),Fotógrafo (1967),Desenhista (1967),Auxiliar de Autópsia (1967)
Carcereiro Policial (2013),0.5736531615257263,0.5954139828681946,0.6623198390007019,0.6165788173675537,0.5836055874824524,0.6409541964530945,0.6077489256858826,0.6665340065956116,0.6284028887748718,0.663895845413208,1.0,0.5046764612197876,0.5179775357246399,0.5049891471862793,0.4507243037223816,0.6131753325462341,0.5877389907836914,0.5136404037475586,0.6220711469650269,0.5635519027709961,0.4857378602027893,0.6373730897903442,0.48706457018852234,0.5124015212059021,0.41056543588638306,0.6012023091316223,0.5440301895141602,0.5143463015556335,0.4844639003276825
Fotógrafo Técnico Pericial (2013),0.8622223734855652,0.8462212085723877,0.8573741912841797,0.8697939515113831,0.9439351558685303,0.8932965397834778,0.9353973269462585,0.8995051980018616,0.8688827753067017,0.8397263288497925,0.5046764612197876,1.0,0.9433571696281433,0.9309688210487366,0.9125426411628723,0.9096097946166992,0.8327524662017822,0.8556239008903503,0.8762959241867065,0.9210958480834961,0.839385449886322,0.8145830035209656,0.8897952437400818,0.8128637075424194,0.8112730979919434,0.8413134217262268,0.8885780572891235,0.7649080753326416,0.8823651671409607
Desenhista Técnico Pericial (2013),0.8993690609931946,0.9159236550331116,0.9074467420578003,0.9272793531417847,0.9497601985931396,0.9177207350730896,0.939883828163147,0.9233260750770569,0.8803538084030151,0.8849275708198547,0.5179775357246399,0.9433571696281433,1.0,0.9196981191635132,0.9271933436393738,0.935396134853363,0.8829727172851562,0.9225642085075378,0.895274817943573,0.9031397104263306,0.8394022583961487,0.8375442624092102,0.8869960904121399,0.8037573099136353,0.7649703621864319,0.875317394733429,0.8601325154304504,0.7782350778579712,0.8830578327178955
Auxiliar de Necropsia (2013),0.8342766165733337,0.825477659702301,0.8341307640075684,0.8493919372558594,0.9222208261489868,0.8808677196502686,0.9308896064758301,0.8897496461868286,0.8546860814094543,0.827296793460846,0.5049891471862793,0.9309688210487366,0.9196981191635132,1.0,0.9151792526245117,0.895376443862915,0.8116881847381592,0.8427510857582092,0.8592285513877869,0.8726136684417725,0.8269427418708801,0.8131683468818665,0.8709057569503784,0.8190998435020447,0.7815671563148499,0.8416350483894348,0.8619880676269531,0.7635534405708313,0.9002869129180908
Atendente de Necrotério (2013),0.8724735379219055,0.8450156450271606,0.8503437638282776,0.8797159790992737,0.9179515838623047,0.8657904267311096,0.9114788770675659,0.8796945214271545,0.8598816394805908,0.8410056829452515,0.4507243037223816,0.9125426411628723,0.9271933436393738,0.9151792526245117,1.0,0.8894335031509399,0.8051131963729858,0.8369401097297668,0.8369951248168945,0.8334840536117554,0.7568483352661133,0.7737772464752197,0.8766422271728516,0.7918183207511902,0.7970367074012756,0.84426349401474,0.8248320817947388,0.7309070229530334,0.8880875110626221
Assessoramento Papiloscopico (2023),0.93701171875,0.9034455418586731,0.9309373497962952,0.9304338693618774,0.9583320617675781,0.9374726414680481,0.9633606672286987,0.962510347366333,0.9163464307785034,0.894001841545105,0.6131753325462341,0.9096097946166992,0.935396134853363,0.895376443862915,0.8894335031509399,1.0,0.8726603984832764,0.8949637413024902,0.9101575613021851,0.8728802800178528,0.8062202334403992,0.8889107704162598,0.9018929600715637,0.8012241721153259,0.716296374797821,0.8837026953697205,0.8681907057762146,0.796152651309967,0.8516201376914978
Escrivão (1967),0.8722496628761292,0.893049418926239,0.8897963166236877,0.9043834805488586,0.8587456941604614,0.8717992901802063,0.8614150285720825,0.8852711915969849,0.8144575357437134,0.8926271796226501,0.5877389907836914,0.8327524662017822,0.8829727172851562,0.8116881847381592,0.8051131963729858,0.8726603984832764,1.0,0.8831086754798889,0.8336278200149536,0.8575063943862915,0.8012705445289612,0.8580511212348938,0.7607888579368591,0.7675946354866028,0.661993145942688,0.8640005588531494,0.7828068137168884,0.7203350067138672,0.7870915532112122
Investigador (1967),0.8831295967102051,0.9271869659423828,0.8973992466926575,0.9200335741043091,0.8743661046028137,0.8760942220687866,0.8659868240356445,0.8828030228614807,0.8283476233482361,0.8819912075996399,0.5136404037475586,0.8556239008903503,0.9225642085075378,0.8427510857582092,0.8369401097297668,0.8949637413024902,0.8831086754798889,1.0,0.8647710680961609,0.8574110865592957,0.81813645362854,0.82452791929245,0.8171076774597168,0.7529096007347107,0.6433082222938538,0.8618679642677307,0.7921379804611206,0.7044239640235901,0.784661591053009
Fiscal Diversões Públicas (1967),0.878638744354248,0.8675403594970703,0.8880029916763306,0.8791765570640564,0.9051722288131714,0.8800413012504578,0.9178819060325623,0.9167142510414124,0.8921765089035034,0.8790566325187683,0.6220711469650269,0.8762959241867065,0.895274817943573,0.8592285513877869,0.8369951248168945,0.9101575613021851,0.8336278200149536,0.8647710680961609,1.0,0.8635082244873047,0.7690929770469666,0.8620641231536865,0.876240074634552,0.8534623980522156,0.7299211025238037,0.8880878686904907,0.8910621404647827,0.8289257884025574,0.8498700261116028
Perito Criminal (1967),0.8420091867446899,0.845555305480957,0.8725646138191223,0.8648943305015564,0.9007009863853455,0.8847787976264954,0.8932143449783325,0.8809615969657898,0.8247680068016052,0.8513235449790955,0.5635519027709961,0.9210958480834961,0.9031397104263306,0.8726136684417725,0.8334840536117554,0.8728802800178528,0.8575063943862915,0.8574110865592957,0.8635082244873047,1.0,0.8546831011772156,0.8427249193191528,0.8158019781112671,0.8133015632629395,0.7678636908531189,0.8391932249069214,0.8346594572067261,0.766149640083313,0.8486577272415161
Medico Legista (1967),0.7690659165382385,0.8081947565078735,0.7914585471153259,0.7947887182235718,0.8304712772369385,0.8591025471687317,0.8067119717597961,0.7860464453697205,0.7294101715087891,0.767453134059906,0.4857378602027893,0.839385449886322,0.8394022583961487,0.8269427418708801,0.7568483352661133,0.8062202334403992,0.8012705445289612,0.81813645362854,0.7690929770469666,0.8546831011772156,1.0,0.7602906823158264,0.7212570309638977,0.6740906238555908,0.6106110215187073,0.7438240051269531,0.7029832601547241,0.5774703621864319,0.7271906137466431
Pesquisador Datiloscopico (1967),0.8510724902153015,0.8407717347145081,0.8657405972480774,0.8534568548202515,0.8593220710754395,0.8509553670883179,0.8896132111549377,0.9161933064460754,0.8404030203819275,0.8505425453186035,0.6373730897903442,0.8145830035209656,0.8375442624092102,0.8131683468818665,0.7737772464752197,0.8889107704162598,0.8580511212348938,0.82452791929245,0.8620641231536865,0.8427249193191528,0.7602906823158264,1.0,0.8109216094017029,0.8440348505973816,0.6470547914505005,0.8612648844718933,0.8359898328781128,0.7917172312736511,0.8052647709846497
Datiloscopista (1967),0.8503809571266174,0.7998554706573486,0.8142884969711304,0.8275805711746216,0.8894142508506775,0.8325937390327454,0.922380268573761,0.8945925235748291,0.864068329334259,0.7832352519035339,0.48706457018852234,0.8897952437400818,0.8869960904121399,0.8709057569503784,0.8766422271728516,0.9018929600715637,0.7607888579368591,0.8171076774597168,0.876240074634552,0.8158019781112671,0.7212570309638977,0.8109216094017029,1.0,0.8131552934646606,0.714516818523407,0.8095979690551758,0.8602727055549622,0.7774086594581604,0.845646858215332
Radiotelegrafista (1967),0.7800657153129578,0.7434002161026001,0.7772909998893738,0.777044415473938,0.7959806323051453,0.7656043171882629,0.843780517578125,0.8400254249572754,0.8058590888977051,0.7807103991508484,0.5124015212059021,0.8128637075424194,0.8037573099136353,0.8190998435020447,0.7918183207511902,0.8012241721153259,0.7675946354866028,0.7529096007347107,0.8534623980522156,0.8133015632629395,0.6740906238555908,0.8440348505973816,0.8131552934646606,1.0,0.7276907563209534,0.8347052335739136,0.8600348830223083,0.8326310515403748,0.8745571374893188
Motorista (1967),0.6846871376037598,0.641808807849884,0.7027404308319092,0.6986411213874817,0.770383894443512,0.6965561509132385,0.7775043845176697,0.7268564105033875,0.7257757186889648,0.7003940343856812,0.41056543588638306,0.8112730979919434,0.7649703621864319,0.7815671563148499,0.7970367074012756,0.716296374797821,0.661993145942688,0.6433082222938538,0.7299211025238037,0.7678636908531189,0.6106110215187073,0.6470547914505005,0.714516818523407,0.7276907563209534,1.0,0.775335431098938,0.7720877528190613,0.6284637451171875,0.8260195851325989
Guarda de Presídio (1967),0.8870037198066711,0.8855969309806824,0.9162936210632324,0.91813063621521,0.8651741147041321,0.8848296999931335,0.8770659565925598,0.9024327397346497,0.8698771595954895,0.9171186685562134,0.6012023091316223,0.8413134217262268,0.875317394733429,0.8416350483894348,0.84426349401474,0.8837026953697205,0.8640005588531494,0.8618679642677307,0.8880878686904907,0.8391932249069214,0.7438240051269531,0.8612648844718933,0.8095979690551758,0.8347052335739136,0.775335431098938,1.0,0.8213164806365967,0.7325127720832825,0.8245715498924255
Fotógrafo (1967),0.7924938201904297,0.7660444378852844,0.800194263458252,0.7960522174835205,0.8836607933044434,0.8006821274757385,0.9146115183830261,0.8795751929283142,0.8441303968429565,0.7774786353111267,0.5440301895141602,0.8885780572891235,0.8601325154304504,0.8619880676269531,0.8248320817947388,0.8681907057762146,0.7828068137168884,0.7921379804611206,0.8910621404647827,0.8346594572067261,0.7029832601547241,0.8359898328781128,0.8602727055549622,0.8600348830223083,0.7720877528190613,0.8213164806365967,1.0,0.8841338157653809,0.8989760875701904
Desenhista (1967),0.7261500954627991,0.6987038254737854,0.7281211018562317,0.7159554958343506,0.8003498911857605,0.7149539589881897,0.8375126123428345,0.8037004470825195,0.7775391340255737,0.7060683369636536,0.5143463015556335,0.7649080753326416,0.7782350778579712,0.7635534405708313,0.7309070229530334,0.796152651309967,0.7203350067138672,0.7044239640235901,0.8289257884025574,0.766149640083313,0.5774703621864319,0.7917172312736511,0.7774086594581604,0.8326310515403748,0.6284637451171875,0.7325127720832825,0.8841338157653809,1.0,0.8414392471313477
Auxiliar de Autópsia (1967),0.7991419434547424,0.7724709510803223,0.7992334365844727,0.803790807723999,0.8970822095870972,0.8149980902671814,0.9075253009796143,0.8703486323356628,0.8394366502761841,0.789648711681366,0.4844639003276825,0.8823651671409607,0.8830578327178955,0.9002869129180908,0.8880875110626221,0.8516201376914978,0.7870915532112122,0.784661591053009,0.8498700261116028,0.8486577272415161,0.7271906137466431,0.8052647709846497,0.845646858215332,0.8745571374893188,0.8260195851325989,0.8245715498924255,0.8989760875701904,0.8414392471313477,1.0
