UID,Atribuições Comuns (2012),Delegado de Polícia (2023),Escrivão de Polícia (2023),Investigador de Polícia (2023),Perito Criminal (2023),Médico Legista (2023),Papiloscopista Policial (2017),Auxiliar de Papiloscopista Policial (2017),Agente de Telecomunicações Policial (2017),Agente Policial (2017),Carcereiro Policial (2013),Fotógrafo Técnico Pericial (2013),Desenhista Técnico Pericial (2013),Auxiliar de Necropsia (2013),Atendente de Necrotério (2013),Assessoramento Papiloscopico (2023),Escrivão (1967),Investigador (1967),Fiscal Diversões Públicas (1967),Perito Criminal (1967),Medico Legista (1967),Pesquisador Datiloscopico (1967),Datiloscopista (1967),Radiotelegrafista (1967),Motorista (1967),Guarda de Presídio (1967),Fotógrafo (1967),Desenhista (1967),Auxiliar de Autópsia (1967)
Carcereiro Policial (2013),0.010806579685774533,0.012902908489722547,0.009946010609856722,0.008303451505166091,0.005481856080059278,0.008650792039409784,0.011804897560990736,0.030931029796150606,0.02960164487558236,0.026275951847173233,1.0,0.008959789391829962,0.008581144102480294,0.012688074722726256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fotógrafo Técnico Pericial (2013),0.018416495732500444,0.002440583124682457,0.009629451275984078,0.015804261776960937,0.08449458691974593,0.04531069193941477,0.02365104646789071,0.019868146814200772,0.024250680342176208,0.034501929787186386,0.008959789391829962,0.999999999999994,0.12246015108173541,0.058551313108939046,0.029155321907691656,0.013086759499930958,0.008964536061716426,0.0010086006330107657,0.007713603185843634,0.02734589452786614,0.011263643046603974,0.003374498603881441,0.009761894552712973,0.0023396147001158055,0.0026938338640305867,0.0,0.028632574014712506,0.004622720635362716,0.00865349602530724
Desenhista Técnico Pericial (2013),0.03112471041490676,0.018521837973467573,0.018939926015314173,0.03530925648917179,0.13085943203993583,0.05211346735993538,0.01734406502027097,0.029957571366374152,0.024866625892933703,0.039124502167017815,0.008581144102480294,0.12246015108173541,0.9999999999999934,0.044780785998920054,0.01906065052106198,0.018355114923407127,0.02299359527924846,0.013697982662013131,0.005108306146472403,0.01418671818369935,0.004489878538936191,0.005360543412024701,0.0005012650581981608,0.0022407413844215897,0.0,0.0,0.006943865263129553,0.013280021492204513,0.004606837632135632
Auxiliar de Necropsia (2013),0.006997353283986634,0.0010802677089847756,0.002260357905492448,0.00659228069714367,0.01613572723710138,0.021838831947027355,0.011127990242412594,0.032243348986046846,0.031182152962261362,0.032578324861211115,0.012688074722726256,0.058551313108939046,0.044780785998920054,1.000000000000008,0.03157865566203171,0.012287266998919105,0.0073312170933319005,0.006587073088520629,0.005388460726323047,0.0033024958976095808,0.010669768603705537,0.005483581618191671,0.017035589903452053,0.003313158919173564,0.008851942912976543,0.0,0.005612591109937601,0.0016435248773308954,0.026292283469151988
Atendente de Necrotério (2013),0.07131575672603181,0.0070912072116678495,0.020413619804832632,0.02715164608641228,0.04311195024878826,0.023112362270109085,0.019503714120332874,0.009767924292370013,0.012113940968911845,0.02289676510087238,0.0,0.029155321907691656,0.01906065052106198,0.03157865566203171,1.0000000000000135,0.013947359913848142,0.009739505575828936,0.0023049758860724636,0.0055633934971869164,0.010079749178406889,0.011185409749397591,0.008237884203289785,0.009489079057965599,0.009759506844478526,0.008090175556783027,0.0,0.005984664436451861,0.008299889909829498,0.023909255397388113
Assessoramento Papiloscopico (2023),0.0234668997312697,0.009070326007925051,0.023471397530677517,0.025722965013186886,0.02773837241944408,0.021469589676569683,0.06901786221042648,0.05886874035953874,0.005493536898373839,0.011595026729299391,0.0,0.013086759499930958,0.018355114923407127,0.012287266998919105,0.013947359913848142,0.9999999999999952,0.006559743082216285,0.007062032855667555,0.0052227130281764875,0.0045923800072114555,0.009814870107671816,0.013863388222385878,0.04014015496107709,0.0,0.0,0.0,0.004400902213212259,0.011810867416260258,0.004116770951837528
Escrivão (1967),0.014836377672669203,0.009381822028646944,0.017852581940122993,0.020529007185699815,0.014951006784720245,0.017225916088536016,0.01353462637881686,0.01588890354398885,0.00507495812357741,0.013030630850771342,0.0,0.008964536061716426,0.02299359527924846,0.0073312170933319005,0.009739505575828936,0.006559743082216285,1.0000000000000082,0.010046731643242712,0.005621622569189803,0.024103057000718027,0.006988234818757022,0.010787138577861784,0.011896658855744872,0.01865263152052108,0.007121593620161969,0.005644415317053117,0.0075819336997653645,0.010868332259704874,0.006756658262064738
Investigador (1967),0.014033784801997807,0.00976083787697611,0.007523993304519151,0.011812037013922971,0.013807938517009743,0.0041299494042721825,0.009475678816446842,0.003953665055925565,0.0,0.0,0.0,0.0010086006330107657,0.013697982662013131,0.006587073088520629,0.0023049758860724636,0.007062032855667555,0.010046731643242712,0.9999999999999958,0.0013670044104936196,0.002283699965937227,0.0,0.0,0.004752613929578922,0.0,0.003967299682538089,0.0032108401491538884,0.0035437394120503003,0.0,0.0024908159595058758
Fiscal Diversões Públicas (1967),0.0012474828108216996,0.002787200160281759,0.004530204077430871,0.002074309696729602,0.007513955876741667,0.0016918146007722098,0.0028660334690468357,0.0032097907513782237,0.0017319575104466922,0.004441757510839084,0.0,0.007713603185843634,0.005108306146472403,0.005388460726323047,0.0055633934971869164,0.0052227130281764875,0.005621622569189803,0.0013670044104936196,0.9999999999999988,0.02859986211807278,0.027286424763523515,0.024841518276491267,0.004464119663004971,0.026954032970013024,0.00463737590101703,0.01397363455919658,0.008284552750707682,0.025028497827822897,0.003238178329387896
Perito Criminal (1967),0.00144661818513873,0.0017272423472696335,0.013310893519159648,0.004738761440459137,0.025066852213317226,0.018983843296121978,0.022248594245691793,0.0071153541018458095,0.0026567228297894457,0.0030760596482804006,0.0,0.02734589452786614,0.01418671818369935,0.0033024958976095808,0.010079749178406889,0.0045923800072114555,0.024103057000718027,0.002283699965937227,0.02859986211807278,1.0000000000000038,0.010614682485517161,0.038105454858857774,0.0011850586575374116,0.041345930436747336,0.0,0.007144916224297288,0.004759872595680251,0.038392270695695715,0.002005173079863105
Medico Legista (1967),0.0,0.0,0.0030045934560454174,0.0,0.018371616309042573,0.027793200522722335,0.007385880710644704,0.0019414388521134655,0.0,0.0,0.0,0.011263643046603974,0.004489878538936191,0.010669768603705537,0.011185409749397591,0.009814870107671816,0.006988234818757022,0.0,0.027286424763523515,0.010614682485517161,1.0000000000000007,0.005615561252284423,0.002551476074173315,0.0,0.0,0.0,0.0034354349462647525,0.0,0.0
Pesquisador Datiloscopico (1967),0.006562156308457836,0.0032007168942315752,0.004298505655618555,0.008169467999311536,0.008463584830669998,0.009544941691246443,0.05881171274617285,0.04336185413591168,0.004104862440053938,0.0018218441621650826,0.0,0.003374498603881441,0.005360543412024701,0.005483581618191671,0.008237884203289785,0.013863388222385878,0.010787138577861784,0.0,0.024841518276491267,0.038105454858857774,0.005615561252284423,1.0000000000000007,0.025480506596602854,0.06388297454135923,0.0,0.0,0.005822196325607745,0.05931931935091427,0.003098162732312451
Datiloscopista (1967),0.017124248332115725,0.0,0.00469719666934571,0.0015172456615745798,0.0026097915554300476,0.003243790902009289,0.045389118682929684,0.06534546290586221,0.0018650777425515018,0.0030139475811844117,0.0,0.009761894552712973,0.0005012650581981608,0.017035589903452053,0.009489079057965599,0.04014015496107709,0.011896658855744872,0.004752613929578922,0.004464119663004971,0.0011850586575374116,0.002551476074173315,0.025480506596602854,1.0000000000000002,0.003718902924760437,0.006623993836289697,0.002680486358381203,0.005603761052326116,0.0018447981585945213,0.013447044485714477
Radiotelegrafista (1967),0.0,0.0,0.002597140581401086,0.0021682292243275065,0.0028501136879508526,0.0,0.001962962662990542,0.0028297434173305425,0.018296789892468697,0.003700273793067834,0.0,0.0023396147001158055,0.0022407413844215897,0.003313158919173564,0.009759506844478526,0.0,0.01865263152052108,0.0,0.026954032970013024,0.041345930436747336,0.0,0.06388297454135923,0.003718902924760437,1.0000000000000002,0.009570521783475228,0.0,0.018518697891626835,0.06436381511577682,0.006292552679923678
Motorista (1967),0.0032490864504504556,0.0,0.017340633624376045,0.0,0.0,0.0,0.013156839137013482,0.0,0.0,0.003295406104132786,0.0,0.0026938338640305867,0.0,0.008851942912976543,0.008090175556783027,0.0,0.007121593620161969,0.003967299682538089,0.00463737590101703,0.0,0.0,0.0,0.006623993836289697,0.009570521783475228,0.999999999999998,0.02701006632246552,0.05560348006265857,0.0,0.011933867872261313
Guarda de Presídio (1967),0.006101755684136016,0.009088603211359085,0.004875519835151508,0.00312560396183384,0.003861332102999858,0.0032563506699060337,0.0043189990769468565,0.004079207648778376,0.0030046231289718667,0.002667058975526426,0.0,0.0,0.0,0.0,0.0,0.0,0.005644415317053117,0.0032108401491538884,0.01397363455919658,0.007144916224297288,0.0,0.0,0.002680486358381203,0.0,0.02701006632246552,1.0000000000000002,0.0,0.0,0.0
Fotógrafo (1967),0.005925933479604155,0.0,0.0027270144196981307,0.003794424531280868,0.006507293178167284,0.0044271782583228236,0.007259416208401456,0.00498412662664342,0.0014590224285658637,0.005180415242203754,0.0,0.028632574014712506,0.006943865263129553,0.005612591109937601,0.005984664436451861,0.004400902213212259,0.0075819336997653645,0.0035437394120503003,0.008284552750707682,0.004759872595680251,0.0034354349462647525,0.005822196325607745,0.005603761052326116,0.018518697891626835,0.05560348006265857,0.0,0.9999999999999962,0.0,0.011308058164472952
Desenhista (1967),0.0,0.0,0.0012883369797797198,0.0010755713072848972,0.0028276535256189696,0.0,0.004407503754229953,0.00140372189089142,0.004135759317160105,0.0018355569956660907,0.0,0.004622720635362716,0.013280021492204513,0.0016435248773308954,0.008299889909829498,0.011810867416260258,0.010868332259704874,0.0,0.025028497827822897,0.038392270695695715,0.0,0.05931931935091427,0.0018447981585945213,0.06436381511577682,0.0,0.0,0.0,1.0000000000000004,0.003121482284329864
Auxiliar de Autópsia (1967),0.0,0.0,0.003579392396796984,0.006368160041686478,0.0114467485531441,0.009687496738294794,0.012811937929944957,0.005482193743275826,0.0031557962615855234,0.008798848396422396,0.0,0.00865349602530724,0.004606837632135632,0.026292283469151988,0.023909255397388113,0.004116770951837528,0.006756658262064738,0.0024908159595058758,0.003238178329387896,0.002005173079863105,0.0,0.003098162732312451,0.013447044485714477,0.006292552679923678,0.011933867872261313,0.0,0.011308058164472952,0.003121482284329864,1.0000000000000007
